,value,date,ipc_type,base,base_log,dlog,year,month,quarter,sa_component,sa,log_sa,dlog_sa,forecast_dlog_sa,MoM_sa_final
386,101.91,2008-01-01,Продовольственный ИПЦ,2.695895052212606,0.9917302650715332,0.018919884852510838,2008.0,1.0,1.0,0.004544730170589058,2.691350322042017,0.9900430461189922,0.0052331610148136365,,101.00524687791906
387,101.66,2008-02-01,Продовольственный ИПЦ,2.740646910079335,1.0081939911021982,0.016463726030665038,2008.0,2.0,1.0,0.024993109216532475,2.7156538008628024,0.9990327350265392,0.008989688907547033,,101.00903021751637
388,101.98,2008-03-01,Продовольственный ИПЦ,2.7949117188989057,1.0278005207411165,0.01960652963891829,2008.0,3.0,1.0,0.05424047792258803,2.7406712409763174,1.0082028688561662,0.009170133829626947,,101.00921230832353
389,102.19,2008-04-01,Продовольственный ИПЦ,2.856120285542792,1.0494641603771429,0.021663639636026355,2008.0,4.0,2.0,0.0655693282337494,2.7905509573090423,1.0262390520755154,0.01803618321934919,,101.01819981747062
390,102.07,2008-05-01,Продовольственный ИПЦ,2.9152419754535273,1.0699528268044582,0.020488666427315394,2008.0,5.0,2.0,0.06139957896691109,2.853842396486616,1.0486662955559998,0.022427243480484416,,101.02268062477476
391,101.08,2008-06-01,Продовольственный ИПЦ,2.946726588788425,1.0806949233363603,0.010742096531902057,2008.0,6.0,2.0,0.04286967842346483,2.90385691036496,1.066039822458278,0.017373526902278336,,101.01752532443274
392,100.09,2008-07-01,Продовольственный ИПЦ,2.949378642718335,1.0815945185791964,0.0008995952428361154,2008.0,7.0,3.0,0.014107868949661337,2.9352707737686736,1.0767997058453334,0.010759883387055247,,101.01081797911309
393,99.82,2008-08-01,Продовольственный ИПЦ,2.9440697611614417,1.0797928966325683,-0.0018016219466281402,2008.0,8.0,3.0,-0.04409667287944803,2.9881664340408896,1.0946599665362353,0.017860260690901963,,101.01802070893933
394,100.74,2008-09-01,Продовольственный ИПЦ,2.965855877394036,1.0871656509619811,0.007372754329412867,2008.0,9.0,3.0,-0.07136836499451807,3.0372242423885543,1.110944020146684,0.016284053610448712,,101.01641736142565
395,101.57,2008-10-01,Продовольственный ИПЦ,3.012419814669122,1.1027436809252995,0.015578029963318363,2008.0,10.0,4.0,-0.0658376892754864,3.0782575039446085,1.124363691418599,0.013419671271915012,,101.0135101192014
396,101.26,2008-11-01,Продовольственный ИПЦ,3.0503763043339527,1.1152649614789711,0.012521280553671632,2008.0,11.0,4.0,-0.054487717453309936,3.1048640217872627,1.1329699211212578,0.008606229702658785,,101.00864336976636
397,101.01,2008-12-01,Продовольственный ИПЦ,3.0811851050077257,1.1253142973319727,0.010049335853001606,2008.0,12.0,4.0,-0.03193432728073377,3.1131194322884594,1.1356252563799558,0.0026553352586979884,,101.00265886378381
398,101.4,2009-01-01,Продовольственный ИПЦ,3.1243216964778338,1.1392172025009641,0.013902905168991397,2009.0,1.0,1.0,0.004544730170589058,3.1197769663072448,1.1377615141082709,0.0021362577283150497,,101.00213854115256
399,101.85,2009-02-01,Продовольственный ИПЦ,3.1821216478626737,1.1575481591856875,0.0183309566847234,2009.0,2.0,1.0,0.024993109216532475,3.157128538646141,1.1496629241876564,0.0119014100793855,,101.01197251365795
